index,prediction
75001,"25cm, 55cm"
75002,
75003,"61cm, 66cm, 43cm"
75004,"61cm, 66cm, 43cm"
75005,"4w, 120v"
75006,"4w, 120v"
75007,
75008,"60cm, 23.6in"
75009,"60cm, 23.6in"
75010,"2.36 inch, 4 cm, 1.57 inch"
75011,"2.36 inch, 4 cm, 1.57 inch"
75012,"0.7in, 1.8cm, 1.6in, 4cm"
75013,"0.7in, 1.8cm, 1.6in, 4cm"
75014,"24cm, 4cm"
75015,"5.4lbs, 2.45kg"
75016,"5.1 cm, 9.2 cm, 7.5 cm"
75017,"5.1 cm, 9.2 cm, 7.5 cm"
75018,120 kg
75019,120 kg
75020,
75021,"13.3cm, 4.1cm"
75022,"4.9in, 12.5cm, 59in, 150cm, 10.6in, 27cm, 5.3in, 13.5cm"
75023,6 feet
75024,6 feet
75025,
75026,"8cm, 12 cm, 7cm"
75027,
75028,150cm
75029,
75030,
75031,12.2in
75032,12.2in
75033,24v
75034,24v
75035,
75036,"1.9 in, 5 cm"
75037,"80 cm, 40 cm, 60 cm, 60 cm, 40 cm, 60 cm, 31 cm, 46 cm, 6 cm, 80 cm, 40 cm, 60 cm"
75038,
75039,
75040,
75041,
75042,
75043,
75044,6cm
75045,
75046,
75047,
75048,
75049,"38cm, 78cm"
75050,"38cm, 78cm"
75051,"12cm, 12.6cm, 38mm"
75052,"12cm, 12.6cm, 38mm"
75053,"2.2 cm, 28.5 cm, 22 cm, 10.8 cm, 11 cm, 5.1 cm"
75054,31mm
75055,"83.82cm, 57cm, 51.99cm"
75056,55cm
75057,55cm
75058,"9.4 inch, 24 cm, 3.4 inch, 8.3 cm"
75059,
75060,
75061,
75062,
75063,8cm
75064,8cm
75065,21cm
75066,3cm
75067,230v
75068,230v
75069,5 cm
75070,5 cm
75071,40gb
75072,40gb
75073,
75074,
75075,3 cm
75076,3 cm
75077,"9.5cm, 3.7in"
75078,"9.5cm, 3.7in"
75079,"9.5cm, 3.7in"
75080,"240v, 20w"
75081,"240v, 20w"
75082,130g
75083,
75084,
75085,
75086,"16cm, 26.5cm"
75087,"230v, 24v"
75088,4lb
75089,"7294mm, 17 mm, 24mm"
75090,"7294mm, 17 mm, 24mm"
75091,
75092,
75093,
75094,"5.7 in, 14.5 cm, 3.03 in, 7.7 cm"
75095,"5.7 in, 14.5 cm, 3.03 in, 7.7 cm"
75096,"60cm, 250cm"
75097,"60cm, 250cm"
75098,
75099,"5 in, 33 in"
75100,"55mm, 2.2in"
75101,"55mm, 2.2in"
75102,62cm
75103,62cm
75104,12 volt
75105,
75106,
75107,60mm
75108,60mm
75109,"4.5cm, 39cm, 40cm, 39cm"
75110,
75111,
75112,150 cm
75113,150 cm
75114,
75115,
75116,"12.2in, 31cm, 2.95in, 7.5cm"
75117,"12.2in, 31cm, 2.95in, 7.5cm"
75118,"10m, 32.8ft, 6cm, 2.36in, 0.039in"
75119,"10m, 32.8ft, 6cm, 2.36in, 0.039in"
75120,10.25 inch
75121,10.25 inch
75122,10.25 inch
75123,5 cm
75124,5 cm
75125,5 cm
75126,"2032 mm, 13 mm"
75127,
75128,
75129,
75130,
75131,"3.031inch, 2.795 inch"
75132,"3.031inch, 2.795 inch"
75133,
75134,
75135,"45 cm, 9 cm"
75136,"6.30 inch, 16 cm, 3.54 inch, 9 cm, 2.36 inch, 6 cm"
75137,"9.5in, 240mm"
75138,"2.20 in, 5.6 cm"
75139,"2.20 in, 5.6 cm"
75140,"10.5 inch, 10 inch, 26inch, 12 inch, 16 inch, 5.6ft"
75141,"10.5 inch, 10 inch, 26inch, 12 inch, 16 inch, 5.6ft"
75142,
75143,"28in, 59.8in"
75144,"17cm, 6.69in, 17cm, 6.69in"
75145,"17cm, 6.69in, 17cm, 6.69in"
75146,3 cm
75147,3 cm
75148,
75149,"5.5 in, 31.5 in, 11.63 in"
75150,"2.95in, 2.4cm, 94in, 1.6cm, 1.63in"
75151,"7.8 in, 20.0 cm"
75152,"7.8 in, 20.0 cm"
75153,
75154,
75155,
75156,
75157,
75158,
75159,
75160,
75161,"6cm, 4cm"
75162,"6cm, 4cm"
75163,"39.3in, 23.6in, 30in, 20in"
75164,"7mm, 6cm, 6cm, 2.36inch, 02inch"
75165,16cm
75166,"45 cm, 23 cm"
75167,"45 cm, 23 cm"
75168,84 cm
75169,
75170,
75171,"28 cm, 34 cm, 45 cm"
75172,"28 cm, 34 cm, 45 cm"
75173,"28 cm, 34 cm, 45 cm"
75174,"51cm, 18cm, 90cm"
75175,"51cm, 18cm, 90cm"
75176,"3inch, 3inch, 3inch"
75177,
75178,400w
75179,400w
75180,
75181,"38cm, 14.9in, 68cm, 26.7in"
75182,"38cm, 14.9in, 68cm, 26.7in"
75183,"36.5cm, 8.5cm, 16cm"
75184,
75185,
75186,"100 mm, 3.94 inch"
75187,
75188,
75189,
75190,
75191,
75192,
75193,
75194,52 inch
75195,52 inch
75196,
75197,
75198,"6cm, 2.36inch, 140cm, 170cm, 0.28inch, 55.12inch, 66.93inch, 2.8cm, 15.75inch, 26cm, 40cm, 710.24inch, 15.75inch, 21cm, 8.27inch, 26cm, 10.24inch"
75199,
75200,
75201,31mm
75202,"13.38 in, 34 cm"
75203,"13.38 in, 34 cm"
75204,"9.5in, 2in, 7.9in"
75205,
75206,
75207,"3inch, 36inch, 40inch"
75208,
75209,"1.6in, 2.8in, 5.1in"
75210,"25cm, 15cm, 17cm"
75211,
75212,
75213,
75214,"6.5cm, 2.55in"
75215,"1.37 in, 3.5 cm, 3.34 in, 8.5 cm"
75216,"1.37 in, 3.5 cm, 3.34 in, 8.5 cm"
75217,
75218,
75219,
75220,
75221,"0.59 in, 1.50 cm, 50 cm, 5 cm, 16 in, 3.14 in"
75222,5 cm
75223,"2.55 in, 38.58 in"
75224,"2.55 in, 38.58 in"
75225,"2.55 in, 38.58 in"
75226,"5.5cm, 6.5cm, 3.6cm"
75227,
75228,
75229,
75230,"60.23 inch, 68.89 inch, 29.92 inch, 15.74 inch, 25.19 inch"
75231,28 cm
75232,
75233,"265lbs, 265 lbs"
75234,"17cm, 6.7in"
75235,"17cm, 6.7in"
75236,"17cm, 6.7in"
75237,"6cm, 2.36in, 55cm, 21.65in"
75238,
75239,
75240,
75241,
75242,
75243,"35 cm, 140 cm, 32 cm"
75244,"11.8in, 19.25in, 8in"
75245,"38cm, 35cm, 58cm"
75246,"2.7 in, 5.4 in"
75247,
75248,
75249,"15cm, 25cm, 55cm"
75250,
75251,
75252,19cm
75253,19cm
75254,19cm
75255,"6 inch, 319.5 mm"
75256,"212cm, 164cm, 78cm"
75257,
75258,
75259,
75260,
75261,"40 cm, 5 cm"
75262,"1700w, 120v"
75263,
75264,
75265,"185 cm, 90 cm, 5 cm"
75266,"112 cm, 4.72 in, 4 cm"
75267,26cm
75268,3 inch
75269,3 inch
75270,"13cm, 24cm"
75271,"13cm, 24cm"
75272,
75273,
75274,
75275,"100 mm, 25 mm, 1500 mm, 270 mm, 455 mm"
75276,"100 mm, 25 mm, 1500 mm, 270 mm, 455 mm"
75277,"100 mm, 25 mm, 1500 mm, 270 mm, 455 mm"
75278,"187cm, 60cm, 55cm, 15cm"
75279,"30 cm, 30 cm, 6 cm"
75280,"30 cm, 30 cm, 6 cm"
75281,"94mm, 114mm, 4.48in"
75282,
75283,
75284,"2.76inch, 394inch"
75285,"2.76inch, 394inch"
75286,"2.76inch, 394inch"
75287,
75288,
75289,
75290,"2.4in, 6.0 cm, 6.9 in, 17.5 cm"
75291,"2.4in, 6.0 cm, 6.9 in, 17.5 cm"
75292,"2.4in, 6.0 cm, 6.9 in, 17.5 cm"
75293,38 cm
75294,38 cm
75295,"2.3in, 26cm, 10.2in"
75296,"630mm, 6mm"
75297,"630mm, 6mm"
75298,"5.9in, 8.26in, 6.49in, 4.92in"
75299,"17cm, 6.69inch"
75300,"30 cm, 50 cm"
75301,"30 cm, 50 cm"
75302,
75303,
75304,"245mm, 230mm"
75305,5 cm
75306,"15cm, 20cm, 4.6cm, 2.7cm"
75307,
75308,
75309,
75310,"19cm, 7.5in, 8cm, 3in"
75311,
75312,"17.7in, 23.6in"
75313,"17.7in, 23.6in"
75314,"17.7in, 23.6in"
75315,78 cm
75316,78 cm
75317,78 cm
75318,25cm
75319,
75320,"150mm, 150mm, 750mm"
75321,2.87in
75322,2.87in
75323,"4.7 in, 12 cm"
75324,73 cm
75325,11.5cm
75326,"20cm, 55cm, 120cm"
75327,
75328,8.7cm
75329,8.7cm
75330,297mm
75331,
75332,"9cm, 5.5in"
75333,
75334,
75335,7cm
75336,7cm
75337,7cm
75338,"15.8cm, 13cm"
75339,
75340,
75341,
75342,"42cm, 45cm"
75343,"42cm, 45cm"
