index,prediction
9788,"4.72 in, 12.00 cm"
9789,"4.72 in, 12.00 cm"
9790,
9791,
9792,
9793,
9794,
9795,
9796,
9797,600mm
9798,600mm
9799,
9800,30 cm
9801,"2.36 in, 6 cm"
9802,"2.36 in, 6 cm"
9803,
9804,3.8 in
9805,3.8 in
9806,3.8 in
9807,"90 cm, 5 cm"
9808,"90 cm, 5 cm"
9809,
9810,
9811,
9812,"18.2cm, 20cm"
9813,"18.2cm, 20cm"
9814,30g
9815,"120 cm, 60 cm"
9816,
9817,
9818,"3cm, 9in, 17.3cm, 6.8in"
9819,80mm
9820,80mm
9821,80mm
9822,
9823,
9824,
9825,
9826,
9827,
9828,"40cm, 32cm"
9829,
9830,"63.5cm, 15cm"
9831,"63.5cm, 15cm"
9832,"18cm, 4cm"
9833,"18cm, 4cm"
9834,907g
9835,
9836,"106cm, 41.73in, 42cm, 16.53in"
9837,"106cm, 41.73in, 42cm, 16.53in"
9838,"106cm, 41.73in, 42cm, 16.53in"
9839,"2.4in, 11.8in, 8in"
9840,"4.5 cm, 1.77 inch"
9841,
9842,
9843,"2cm, 0.79in, 14cm, 5.50in"
9844,"2cm, 0.79in, 14cm, 5.50in"
9845,"2cm, 0.79in, 14cm, 5.50in"
9846,"2.2 in, 5.7 cm"
9847,"2.2 in, 5.7 cm"
9848,9lb
9849,100kg
9850,
9851,"90cm, 35.43in"
9852,"90cm, 35.43in"
9853,275lbs
9854,
9855,
9856,
9857,
9858,
9859,
9860,"25cm, 8cm"
9861,29cm
9862,29cm
9863,29cm
9864,"3.7 in, 9.5 cm, 1.4 in, 3.8 cm"
9865,"12.5 in, 32 cm, 11.7 in, 30 cm"
9866,"12.5 in, 32 cm, 11.7 in, 30 cm"
9867,
9868,"4.1 in, 10.5 cm, 3.5 in, 9.0 cm"
9869,"4.1 in, 10.5 cm, 3.5 in, 9.0 cm"
9870,"19.5cm, 7.6in"
9871,"19.5cm, 7.6in"
9872,"19.5cm, 7.6in"
9873,"17 inch, 3.9 inch"
9874,"17 inch, 3.9 inch"
9875,"17 inch, 3.9 inch"
9876,"117cm, 71cm, 190cm"
9877,
9878,"13.2cm, 5.19inch, 28cm, 11.02inch"
9879,
9880,
9881,
9882,"68cm, 48cm"
9883,"68cm, 48cm"
9884,49lbs
9885,
9886,
