index,prediction
131086,
131087,
131088,
131089,
131090,
131091,
131092,
131093,
131094,
131095,
131096," l,  l,  l"
131097,
131098,
131099,
131100,
131101,
131102,
131103,
131104,
131105,"320w, 321.3w, 321.6w, 4v, 5v, 6v, 3v, 6v"
131106,"2g, 9kg"
131107,
131108,"45w, 45w, 3.3v, 3.03v, 5v, 3v, 75v, 10.1v, 2v, 25v, 36.45v"
131109,"2g, 15.1kg"
131110,
131111,453g
131112,
131113,
131114,35v
131115,
131116,
131117,
131118,
131119,
131120,
131121,
131122,
131123,
131124,85w
131125,85w
131126,
131127,
131128,
131129,
131130,"5.4kg, 12lb"
131131,
131132,
131133,
131134,
131135,"0.25 oz, 025 oz, 71g"
131136,
131137,
131138,
131139,
131140,
131141,85lbs
131142, l
131143,
131144,
131145,
131146,
131147,
131148,
131149,
131150,
131151,
131152,
131153,
131154,
131155,
131156,
131157,"3.2 lbs, 40 lbs"
131158, ml
131159,
131160,
131161, pint
131162,24 kg
131163,24kg
131164, l
131165,
131166,
131167,"10g, 10g, 7g, 7g"
131168,
131169, ml
131170,
131171,
131172,
131173,36g
131174,81g
131175,
131176,
131177,80g
131178,
131179,
131180,
131181,
131182,500 lb
131183,
131184,
131185,
131186,
